title,writer,publisher,school,id_number,call_num,description,pubDate,img,catgory
타임라인 2 2,마이클 크라이튼,김영사,대덕소프트웨어마이스터고등학교,EM00003456,843 크292ㅌ v.2,,2000-07-25,https://image.aladin.co.kr/product/24/28/coversum/8934905727_1.gif,국내도서>소설/시/희곡>과학소설(SF)>외국 과학소설
애거서 크리스티 전집 2,애거서 크리스티,황금가지,대덕소프트웨어마이스터고등학교,EM00003508,843.6 크299ㅇ v.2,"황금가지 애거서 크리스티 전집 시리즈 76권. 그동안 애거서 크리스티가 생전에 쓴 다양한 단편들 중에서 한 권으로 엮여 출간되지 못한 단편들을 모두 모았다. 추리물 외에도 어드벤처, 호러, 미스터리가 다양하게 뒤섞여 있다.",2013-07-12,https://image.aladin.co.kr/product/2879/84/coversum/8982737766_3.jpg,국내도서>소설/시/희곡>추리/미스터리소설>영미 추리/미스터리소설
어느날  엄마 에 관해 쓰기 시작했다,이충걸,디자인하우스,대덕소프트웨어마이스터고등학교,EM00003544,818 이85ㅇ,,2002-05-05,https://image.aladin.co.kr/product/34/77/coversum/8970418512_1.gif,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설
셜록 홈즈 전집 3  주홍색연구  네명의 기호 3,아서 코난 도일,시간과 공간사,대덕소프트웨어마이스터고등학교,EM00003670,843 도68ㅅ v.3,,2002-05-25,https://image.aladin.co.kr/product/34/79/coversum/8971421312_1.jpg,국내도서>소설/시/희곡>추리/미스터리소설>영미 추리/미스터리소설
셜록홈즈의 마지막 인사 8,아서 코난 도일,시간과 공간사,대덕소프트웨어마이스터고등학교,EM00003674,843 도68ㅅ v.8,"홈즈 이야기 중 국내에 가장 널리 알려진 에피소드 중 하나인 '브루스파팅턴 호 설계도'와, 1차 세계대전 당시 발표된 '마지막  인사'가 실려 있다. 전쟁의 그늘이 짙게 깔린 암울한 시기에 쓰여진 이 단편에서는, 국익을 위해 활약하는 홈즈의 새로운 모습을 볼 수 있다.",2002-09-05,https://image.aladin.co.kr/product/37/48/coversum/8982734007_2.jpg,국내도서>소설/시/희곡>추리/미스터리소설>영미 추리/미스터리소설
죽은 시인의 사회,톰 슐만,시간과 공간사,대덕소프트웨어마이스터고등학교,EM00003713,843 슐32ㅈ,"졸업생의 70% 이상이 미국의 최고 명문 대학에 진학하는 웰튼 아카데미, 전원 기숙사 생활을 하면서 철저하고 엄격한 통제를 받는 기숙 고등학교다. 목표는 오직 명문대 진학. 학생들에게 스스로의 결정과 판단이란 존재하지 않는다.",2003-08-10,https://image.aladin.co.kr/product/42/86/coversum/898802737x_1.gif,국내도서>소설/시/희곡>영미소설
구운몽,전영진,홍신문화사,대덕소프트웨어마이스터고등학교,EM00003766,813.5 전64ㄱ,,1995-10-01,https://image.aladin.co.kr/product/1/65/coversum/8970551859_1.jpg,국내도서>소설/시/희곡>한국소설>2000년대 이전 한국소설
삼국지 2,나관중,민음사,대덕소프트웨어마이스터고등학교,EM00003874,823.5 나15ㅅ v.2,"1988년 출간된 이래 누적판매 2,000만 부라는 대기록을 세운 이문열 삼국지가 출간 30여 년 만에 새롭게 출간된다. 이번 개정 신판에서는 지난 30년간 독자들에게서 받은 질문과 평역자 자신이 계속하여 고민하였던 내용들을 새롭게 손보았다.",2020-03-25,https://image.aladin.co.kr/product/23379/41/coversum/8925568802_1.jpg,국내도서>소설/시/희곡>역사소설>외국 역사소설
        삼국지 8  솥발처럼 갈라선 천하,나관중,민음사,대덕소프트웨어마이스터고등학교,EM00007490,823.5 나15ㅅ v.8 c.2,,2020-03-25,https://image.aladin.co.kr/product/23379/49/coversum/892556887x_1.jpg,국내도서>소설/시/희곡>역사소설>외국 역사소설
초승달과 밤배 2,정채봉,까치글방,대덕소프트웨어마이스터고등학교,EM00003989,813.6 정81ㅊ v.2,동화 작가 정채봉 선생의 5주기를 맞아 시작된 정채봉 전집 중 여섯 번째 작품이다. 정채봉의 유일한 장편 소설인 <초승달과 밤배>는 한 작은 바닷가 마을에서 태어난 소년의 성장기를 한국 근대사의 격동의 시기와 함께 풀어간다.,2006-05-30,https://image.aladin.co.kr/product/64/96/coversum/8946415495_1.jpg,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설
요재지이 3 3,포송령,민음사,대덕소프트웨어마이스터고등학교,EM00004064,823.5 포55ㅇ v.3,"단숨에 읽는 중국 5대 기서 시리즈 3권. 신선, 여우, 유령 등에 관한 중국 특유의 요소들이 가득 담긴 중국의 대표 판타지물이다. 중국의 기서 중에서도 예술적 향기가 가장 높은 걸작으로 인정받고 있으며 중국의 대표 기서 문학답게 유럽에서도 초역된 바 있다.",2012-11-28,https://image.aladin.co.kr/product/2572/99/coversum/899777025x_1.jpg,국내도서>소설/시/희곡>판타지/환상문학>외국판타지/환상소설
내 영혼이 따뜻했던 날들,포리스트 카터,아름드리,대덕소프트웨어마이스터고등학교,EM00011705,843.6 카884ㄴ c.5,"포리스트 카터의 자전적인 소설로, 이야기는 주인공인 '작은나무'가 홀어머니의 죽음으로 조부모와 함께 살게 되는 것으로 시작한다. 체로키족인 할아버지, 할머니와 함께 산 속 오두막에 살면서 '작은나무'는 산사람으로, 또 인디언으로 자연과 더불어 살아가면서 자연의 이치로 세상을 보고 판단하는 지혜를 배워간다.",2014-05-30,https://image.aladin.co.kr/product/19025/43/coversum/8955824955_1.jpg,국내도서>소설/시/희곡>영미소설
창룡전 5  신기루 도시,다나카요시키,서울문화사,대덕소프트웨어마이스터고등학교,EM00004167,833.6 다192ㅊ v.5,"동해가 내려다보이는 카이토 시에 있는 하쿠요 학원의 원장 히다카는 류도 형제의 할아버지, 츠카사의 친구였다. 어느 날 히다카 원장에게 SOS 신호를 받은 4형제는 2학기 첫날부터 학원을 구하기 위해 출격한다. 수수께끼의 전학생 오와루와 아마루는 거대한 악이 모여드는 가면 파티에 잠입해 소동을 벌이는데…….",2018-12-13,https://image.aladin.co.kr/product/17625/85/coversum/k242534114_1.jpg,국내도서>소설/시/희곡>라이트 노벨>S 노벨
이름없는 너에게,벌리 도허티,창비,대덕소프트웨어마이스터고등학교,EM00004204,843 도94ㅇ,"영국도서관협회 선정 카네기 메달 2회 수상에 빛나는 세계적인 작가 벌리 도허티의 대표작. 그간 16개 국 이상에서 번역·출판되었고, 연극과 TV 드라마로도 각색되어 큰 인기를 얻었다. 또한 이 작품은 카네기 메달, 셰필드 상 등을 수상하며 문학성을 높이 인정받아 명실공히 청소년문학의 고전으로 자리매김하였다.",2010-01-29,https://image.aladin.co.kr/product/629/59/coversum/8936456261_1.jpg,국내도서>청소년>청소년 문학>청소년 소설
어스시의 마법사 1  어스시의 마법사,어슐러 르 귄,황금가지,대덕소프트웨어마이스터고등학교,EM00004343,843 귄64ㅇ v.1,"<반지의 제왕>, <나니아 연대기>와 더불어 세계 3대 판타지 문학으로 손꼽히는 <어스시의 마법사> 연작이 장편 5편과 단편집 1권을 모두 갖춘 전집 형태로 새롭게 선보인다. 환상 세계의 짜릿한 모험 이야기인 동시에 '자아 발견'이라는 주제를 다루는 성장 소설이기도 한 이 작품은, 1968년 첫 번째 책 <어스시의 마법사>가 출간된 이래, 연령층의 벽을 넘어 전 세계 수백만 독자들에게 읽혀왔다.",2006-07-24,https://image.aladin.co.kr/product/67/36/coversum/s252532391_1.jpg,국내도서>소설/시/희곡>판타지/환상문학>외국판타지/환상소설
어스시의 마법사 2  어투안의 무덤,어슐러 르 귄,황금가지,대덕소프트웨어마이스터고등학교,EM00004344,843 귄64ㅇ v.2,,,,
